ra,dec,mag,ci,name
0.084389,-0.50306,6.29,1.100,
0.088917,-5.70750,4.61,1.040,
0.095000,13.39611,5.51,0.900,
0.104444,58.43667,5.96,0.670,
0.105278,-49.07500,5.70,0.520,
0.107361,64.19611,5.59,-0.030,
0.110222,29.02139,6.13,0.750,
0.113917,-23.10750,6.18,0.380,
0.121722,-17.38639,6.19,0.140,
0.128917,-2.54889,6.43,-0.140,
0.129667,-22.50889,5.94,0.140,
0.134306,-33.52944,5.68,1.120,
0.136694,-2.44778,6.07,1.380,
0.139806,29.09056,2.06,-0.110,Alpheratz
0.138167,-8.82389,5.99,1.040,
0.144722,36.62667,6.19,0.480,
0.142611,-17.57750,6.06,1.670,
0.147833,25.46278,6.23,0.970,
0.155611,79.71472,6.01,0.190,
0.152972,59.14972,2.27,0.340,Caph
0.150667,18.21194,5.53,1.040,
0.150667,-54.00194,6.33,0.740,
0.155833,-27.98778,5.42,0.420,
0.156861,-45.74750,3.88,1.030,
0.167306,11.14556,5.51,-0.070,
0.172028,46.07222,5.03,0.400,
0.171889,-5.24861,5.84,0.980,
0.167250,-82.22389,5.28,1.050,
0.178556,-12.58000,5.85,1.010,
0.187750,-15.46806,4.89,0.490,
0.192889,-27.79972,5.41,1.340,
0.195556,-35.13306,5.25,0.440,
0.199750,48.15250,6.16,1.450,
0.202778,-17.93833,5.25,1.480,
0.220611,15.18361,2.83,-0.230,Algenib
0.223333,26.98722,6.30,0.650,
0.225222,41.03528,5.72,0.310,
0.228361,-26.02194,5.94,1.550,
0.228944,-26.28472,6.31,1.480,
0.233972,33.20611,6.25,-0.010,
0.243389,20.20667,4.80,1.570,
0.241000,-7.78056,5.12,1.620,
0.222056,-84.99417,5.77,1.720,
0.244000,-18.93278,4.44,1.660,
0.248917,22.28417,6.24,-0.010,
0.249667,8.82083,5.79,0.310,
0.248472,-9.56972,5.75,-0.080,
0.251944,31.53583,6.45,0.000,
0.252944,27.28306,6.35,-0.020,
0.249500,-34.90444,6.17,1.340,
0.270556,76.95083,6.35,-0.070,
0.272667,43.59472,6.15,0.050,
0.269139,-31.44639,5.67,1.350,
0.265333,-75.91139,6.49,1.000,
0.276139,8.24000,6.11,0.920,
0.282528,61.53333,5.74,0.880,
0.278472,-20.21056,6.47,-0.090,
0.285861,47.94750,5.89,-0.090,
0.284861,38.68167,4.61,0.060,
0.295278,51.43306,6.14,-0.130,
0.292389,-19.05111,6.45,0.370,
0.296583,1.68889,6.17,0.940,
0.305472,36.78528,4.52,0.050,
0.304778,11.20583,6.05,1.030,
0.311694,43.79111,6.11,-0.080,
0.310639,31.51722,5.87,-0.010,
0.311611,-8.05278,6.46,0.680,
0.311833,-43.23528,6.33,1.210,
0.323806,-8.82389,3.56,1.220,
0.328222,40.72972,6.33,1.180,
0.334528,-64.87472,4.23,0.580,
0.340111,30.93583,5.90,-0.100,
0.345972,32.91139,5.79,1.590,
0.343306,8.19028,5.37,1.340,
0.352028,37.96861,5.18,0.420,
0.344167,-69.62500,5.51,-0.050,
0.358667,-28.98167,5.18,1.000,
0.362861,-20.05778,5.12,1.820,
0.373750,13.48250,6.23,1.220,
0.357944,-77.42694,5.97,1.400,
0.381056,-12.20944,6.39,0.660,
0.404333,52.02000,5.57,-0.120,
0.413194,61.83111,5.40,0.000,
0.408250,-2.21917,6.07,1.220,
0.418444,53.04694,5.74,-0.060,
0.423389,1.93972,5.77,0.860,
0.429194,-77.25417,2.80,0.620,
0.438056,-42.30611,2.39,1.090,Ankaa
0.436722,-43.68000,3.94,0.170,
0.443722,-0.04972,6.19,0.900,
0.454083,-25.54722,5.98,1.030,
0.467472,17.89306,5.06,1.650,
0.470472,44.39444,5.17,0.030,
0.465472,-33.00722,4.81,1.640,
0.470194,16.44500,6.06,1.580,
0.472250,10.18972,6.04,0.430,
0.472528,-20.33500,6.43,0.590,
0.474000,-39.91500,5.43,1.560,
0.482389,36.90000,6.26,0.920,
0.478639,-50.53278,6.26,1.090,
0.515278,77.01944,6.21,0.840,
0.505528,59.97722,5.94,0.010,
0.502028,29.75167,5.23,0.240,
0.497750,-14.86417,6.14,0.370,
0.500667,-3.95722,5.72,1.560,
0.506306,-23.78778,5.19,0.120,
0.507722,-40.93944,6.19,0.330,
0.507250,-48.21500,5.69,0.350,
0.523694,66.51944,6.18,-0.100,
0.523778,33.58167,5.87,1.140,
0.529556,54.52222,4.73,-0.100,
0.528111,52.83944,5.60,1.150,
0.523611,-48.80361,4.77,0.020,
0.525750,-62.95806,4.37,-0.070,
0.526000,-62.96583,4.54,0.150,
0.555361,70.98167,6.42,-0.010,
0.550000,62.93167,4.16,0.140,
0.543194,20.29444,5.38,1.080,
0.539944,6.95556,5.67,0.000,
0.546972,28.28028,6.30,1.000,
0.552889,54.89500,5.93,1.040,
0.545500,-63.03111,5.09,0.040,
0.573583,66.75028,6.48,-0.080,
0.561417,-29.55833,5.55,1.270,
0.556472,-71.26611,6.13,0.230,
0.574389,-52.37306,5.57,0.470,
0.582028,13.37111,6.40,0.000,
0.587472,-3.59278,5.20,0.560,
0.592444,-0.50556,5.93,0.440,
0.602306,54.16861,5.08,-0.110,
0.598528,13.20667,6.41,0.520,
0.607583,60.32611,5.79,0.290,
0.594750,-48.00083,5.51,0.440,
0.592611,-54.82194,6.06,1.010,
0.605556,27.25472,6.50,-0.090,
0.600833,-14.97361,6.45,1.060,
0.601917,-22.84250,6.06,0.290,
0.612944,44.48861,5.13,1.600,
0.616194,53.89694,3.66,-0.200,Fulu
0.614694,33.71944,4.36,-0.140,
0.613139,15.23167,5.89,-0.150,
0.618667,24.01417,6.47,0.000,
0.622528,35.39944,5.48,0.880,
0.663139,82.49389,6.40,0.550,
0.622417,-24.76722,5.57,0.720,
0.610389,-65.12472,6.42,1.260,
0.625139,3.13528,6.39,1.330,
0.621694,-54.39417,6.41,1.000,
0.642583,29.31167,4.37,0.870,
0.652750,49.35444,5.43,1.640,
0.655472,30.86083,3.27,1.280,
0.656056,21.25056,5.87,0.850,
0.665444,21.43833,5.36,1.160,
0.675139,56.53722,2.23,1.170,Schedar
0.664444,-44.79667,6.01,1.140,
0.674611,-16.51694,6.49,0.920,
0.675806,-23.80444,6.14,0.700,
0.678444,-4.35194,5.91,1.100,
0.685333,39.45861,5.33,0.890,
0.674000,-59.45444,5.89,0.550,
0.700944,66.14750,5.83,1.040,
0.693333,24.62917,6.04,0.260,
0.701083,50.51250,4.80,-0.110,
0.688778,-46.08500,4.59,0.970,
0.708639,58.75333,6.17,-0.010,
0.696222,-56.50167,5.70,0.200,
0.724472,47.02472,4.94,0.180,
0.711917,-38.46333,6.06,-0.030,
0.711611,-60.26250,5.98,1.320,
0.707889,-65.46806,5.39,0.500,
0.726500,-17.98667,2.04,1.020,Diphda
0.740667,47.86417,5.67,-0.120,
0.730611,-12.01167,6.02,1.100,
0.722556,-57.46306,4.36,0.000,
0.760833,74.98806,5.66,0.050,
0.745417,48.28444,4.54,-0.070,
0.736500,-10.60944,4.76,1.010,
0.736694,-38.42167,5.90,1.160,
0.754778,55.22167,5.42,0.040,
0.745667,-22.00611,5.24,0.330,
0.749194,-42.67667,5.94,0.280,
0.742306,-62.49778,6.07,0.440,
0.777500,69.32500,6.33,0.000,
0.756694,-4.62917,6.15,1.620,
0.750000,-53.71500,6.15,0.530,
0.757972,-12.88083,6.15,0.610,
0.769694,44.86139,6.05,-0.070,
0.761583,-16.42417,6.47,0.310,
0.778444,59.57444,6.39,1.090,
0.796139,74.84750,5.41,-0.080,
0.762667,-47.55167,5.80,0.640,
0.769944,-22.52194,5.50,0.980,
0.775833,15.47556,5.38,1.650,
0.802528,72.67500,5.87,1.010,
0.783750,11.97389,5.50,0.970,
0.787111,19.57889,6.13,0.270,
0.788972,24.26722,4.06,1.120,
0.789889,6.74083,5.99,0.940,
0.795361,-18.06139,5.70,1.300,
0.818333,57.81583,3.44,0.570,Achird
0.800306,-21.72250,5.57,-0.060,
0.804833,7.30000,5.93,1.100,
0.806389,5.28056,5.75,0.880,96 G. Psc
0.813917,50.96833,4.89,-0.110,
0.811389,7.58500,4.43,1.500,
0.816306,16.94056,5.07,0.510,
0.830222,41.07889,4.53,-0.150,
0.823778,-13.56139,5.59,1.300,
0.820528,-24.13639,5.90,0.950,
0.815750,-46.69778,6.27,0.900,
0.825944,-23.36167,6.28,0.130,
0.845444,64.24750,5.39,0.490,
0.838417,45.00222,6.15,0.010,
0.835444,-10.64444,5.19,0.500,
0.809833,-74.92333,5.07,1.370,
0.854556,61.80583,6.07,1.880,
0.849278,51.50806,6.39,0.280,
0.834361,-43.39472,6.48,0.290,
0.914750,83.70722,5.62,0.090,
0.859361,51.57111,6.21,0.000,
0.844778,-50.98694,5.22,0.360,
0.855083,3.38500,6.37,1.070,
0.884472,61.12417,4.82,0.530,
0.877944,-24.00583,5.46,1.240,
0.883472,-1.14417,4.77,1.570,
0.891167,37.41806,6.06,1.140,
0.896556,52.68917,6.27,0.190,
0.886778,-24.77694,6.46,0.440,
0.873417,-69.50444,6.22,0.560,
0.916694,58.97278,4.83,1.210,
0.909778,19.18833,5.74,-0.010,
0.904889,-8.74083,6.16,0.920,
0.918111,48.67861,6.27,1.680,
0.893861,-62.87139,5.70,1.560,
0.916111,23.62833,5.47,1.000,
0.920750,24.55694,6.20,1.620,
0.936917,57.99667,6.21,1.370,
0.948778,68.77611,6.37,0.380,
0.932917,27.20944,6.09,0.140,
0.928444,-7.34722,5.85,1.520,
0.945139,60.71667,2.47,-0.150,Cih
0.944389,59.18111,4.63,0.960,Castula
0.946417,60.36278,5.55,-0.070,
0.933750,-11.26667,5.31,1.520,
0.932083,-27.77556,6.10,1.670,
0.945889,38.49944,3.87,0.130,
0.916750,-69.52694,5.45,1.090,
0.953444,23.41750,4.42,0.940,
0.961028,45.83972,6.12,1.020,
0.975306,66.35222,5.97,-0.020,
0.963944,28.99222,5.42,1.080,
0.970611,33.95083,5.98,1.000,
0.965139,13.69583,6.32,0.890,
0.971917,21.40444,6.37,0.090,
1.008611,70.98306,6.39,0.130,
0.978861,-11.38000,5.61,0.970,
0.976778,-29.35750,4.31,-0.160,
0.972889,-60.69639,6.23,0.100,
1.001000,44.71333,6.04,-0.010,
0.997139,6.48306,6.11,1.670,
1.145750,86.25694,4.25,1.210,
1.564000,89.01556,6.46,0.110,
1.038444,51.03500,6.47,0.000,
1.021750,-38.91667,5.59,1.180,
1.050417,47.37611,6.45,0.250,
1.048417,41.34500,5.98,0.160,
1.046972,31.80444,5.50,-0.050,
1.060278,61.07500,5.92,0.490,
1.040667,-31.55194,5.50,0.080,
1.049056,7.89000,4.28,0.960,
1.033833,-57.00250,6.11,0.940,
1.050722,-4.83667,5.43,1.110,
1.072111,61.58028,5.84,0.540,
1.067333,52.50222,5.99,1.470,
1.047000,-46.39750,5.36,0.900,
1.054889,-29.52583,6.29,0.930,
1.063611,1.36667,6.04,0.270,
1.074333,29.65861,6.19,0.430,
1.045250,-65.45611,6.21,1.640,
1.270417,87.14528,6.25,1.120,
1.081278,5.65639,6.00,1.510,
1.084833,14.94611,5.68,0.410,
1.094694,21.47333,5.34,-0.030,
1.094917,21.46528,5.56,-0.070,
1.153417,80.01167,6.29,0.000,
1.097000,4.90833,6.35,0.380,
1.093556,-9.97917,6.12,1.010,
1.116722,56.93500,6.43,1.180,
1.101417,-9.83944,5.58,0.010,
1.119306,53.49833,6.38,0.000,
1.109333,12.95611,6.12,0.960,
1.102139,-23.99250,6.14,1.090,
1.137889,54.92028,5.17,0.690,
1.101389,-46.71861,3.31,0.890,
1.133583,43.94194,5.03,0.110,
1.120306,-23.99639,6.37,0.230,
1.142583,58.26361,5.79,-0.010,
1.133694,32.01222,6.25,0.400,
1.132556,20.73917,5.55,0.130,
1.129500,-9.78556,5.82,0.430,
1.139500,5.64972,5.52,0.340,
1.129972,-41.48694,5.21,0.160,
1.121861,-61.77528,5.37,0.880,
1.204639,79.67389,5.64,0.010,
1.143167,-10.18222,3.45,1.160,
1.158389,47.24194,4.25,-0.070,
1.177583,68.77861,5.29,-0.020,
1.162194,35.62056,2.06,1.580,Mirach
1.139750,-55.24583,3.92,-0.080,Wurren
1.163667,19.65861,5.55,0.690,
1.171889,42.08139,5.65,0.600,
1.172056,25.45778,5.80,1.470,
1.190444,64.20278,5.55,-0.070,
1.185056,55.14972,4.33,0.170,
1.169861,15.67417,6.06,1.490,
1.194833,65.01889,5.57,-0.090,
1.170000,-8.90611,6.40,1.040,
1.176000,2.44556,5.95,1.510,
1.186194,37.72417,5.81,-0.100,
1.185222,31.42472,5.16,0.230,
1.168722,-57.69444,6.41,0.890,
1.190889,21.03472,4.66,1.030,
1.194333,30.08972,4.51,1.090,
1.195417,-2.25111,5.94,1.400,
1.219417,61.70583,6.41,0.010,
1.209444,45.33778,6.11,1.640,
1.216528,30.06417,6.19,1.000,
1.275194,79.91000,6.26,0.420,
1.212611,-37.85639,5.92,0.280,
1.229139,24.58361,4.65,1.040,
1.228861,7.57528,5.24,0.320,Revati
1.229250,7.57833,6.30,0.490,Revati
1.234722,28.52972,6.43,1.700,
1.235444,16.13361,5.98,-0.080,
1.240000,-7.92306,5.13,0.460,
1.245111,6.99528,6.03,1.080,
1.247000,-0.97389,5.70,0.420,
1.253083,-45.53139,4.96,0.580,
1.271889,33.11472,6.02,1.150,
1.284750,44.90194,6.34,0.000,
1.276750,-2.50028,5.41,0.900,
1.338750,77.57056,6.31,0.920,
1.302833,47.41972,6.25,1.350,
1.262806,-68.87611,4.86,0.470,
1.296667,3.61444,5.16,0.070,
1.313056,37.38611,6.46,0.230,
1.284333,-66.39806,6.24,0.050,
1.366417,76.23889,6.38,0.280,
1.334694,58.23167,4.98,0.680,
1.324444,27.26417,4.76,0.030,
1.351444,64.65833,6.34,0.090,
1.330083,-0.50889,5.87,0.640,
1.396333,78.72583,6.07,0.390,
1.342917,-3.24694,6.23,1.020,
1.341056,-11.23889,6.15,1.110,
1.352056,28.73806,5.23,1.390,
1.372333,45.52889,4.88,1.080,Adhil
1.389333,58.14306,6.45,0.000,
1.376944,1.72639,6.20,1.520,
1.376333,-0.44972,6.49,1.080,
1.375139,-19.08139,6.35,0.480,
1.394611,37.71500,5.58,0.260,
1.393750,34.24583,6.29,0.830,
1.390250,20.46889,5.97,1.710,
1.429583,70.98000,6.49,0.000,
1.432222,68.13000,4.74,1.050,
1.391944,-30.94556,5.84,1.610,
1.400694,-8.00750,6.21,0.230,
1.400389,-8.18333,3.60,1.060,
1.430278,60.23528,2.68,0.130,Ruchbah
1.405722,-6.91472,5.91,0.410,
1.411056,-15.66028,6.14,0.910,
1.413528,-2.84861,6.15,0.960,
1.426583,23.51167,6.18,0.430,
1.411333,-41.49250,5.42,1.040,
1.438500,43.45778,5.96,0.490,
1.435750,34.57972,6.31,0.470,
1.411639,-44.52833,6.26,1.140,
1.427000,-14.59889,4.90,1.230,
1.437583,19.17222,5.38,0.390,
1.444917,19.24028,5.50,1.110,
1.451722,34.37750,6.27,0.460,
1.440917,-0.39861,6.41,1.240,
1.460944,45.40667,4.83,0.420,
1.457389,41.10056,6.46,0.270,
1.418139,-64.36944,5.93,1.560,
1.447667,-13.05667,5.66,0.350,
1.449472,-32.54306,5.79,3.860,
2.530194,89.26417,2.02,0.600,Polaris
1.462944,-10.90167,6.13,1.320,
1.473028,7.96139,6.20,1.120,
1.520500,70.26472,5.81,0.470,
1.514528,66.09806,6.14,0.080,
1.472750,-43.31833,3.41,1.570,
1.501722,47.00722,5.27,1.000,
1.498028,18.35556,6.02,0.140,
1.493361,-21.62944,5.12,0.020,
1.503083,6.14389,4.84,1.370,
1.491778,-46.75639,6.31,1.660,
1.506361,-26.20778,5.93,1.340,
1.524722,15.34583,3.62,0.970,Alpherg
1.535444,34.80000,6.39,-0.120,
1.557167,58.32750,5.70,1.520,
1.520861,-49.07278,3.95,0.990,
1.528694,-30.28333,5.82,1.080,
1.565528,59.23194,4.71,1.000,
1.527528,-45.57556,6.17,0.060,
1.548889,-36.86528,5.51,1.020,
1.571278,37.23722,5.88,-0.070,
1.543417,-49.72778,6.28,0.460,
1.561917,-7.02528,5.76,0.640,
1.580306,18.46056,5.89,1.520,
1.577167,-15.67611,5.63,0.070,
1.597917,41.07639,6.38,1.110,
1.580750,-31.89222,6.12,1.110,
1.607556,48.72278,5.92,1.210,
1.596222,14.66139,6.22,-0.040,
1.641917,73.04000,5.28,0.960,
1.598556,17.43361,5.80,0.000,
1.613278,41.40556,4.09,0.540,Titawin
1.599722,-15.40028,5.42,1.210,
1.587556,-58.13944,6.01,0.380,
1.635444,57.97750,5.56,1.380,
1.602333,-29.90750,5.69,0.330,
